;index;codigo;data_venc;retorno_venc;pu;Qtde Maxima;Qtde Compra;Valor Compra;pmp parcial;composicao individual
89;89;K23;2023-05-15;28,587197035705046;77768,24;25,0;45;3499570,8000000003;424,84789512000003;45K23
92;92;Q24;2024-08-15;37,871873186554005;72531,11;19,0;45;3263899,95;545,72407164;45Q24
93;93;Q26;2026-08-17;53,253651651384715;65251,3;15,0;50;3262565,0;784,320626;50Q26
96;96;K23;2023-05-15;28,587197035705046;77768,24;25,0;40;3110729,6;377,64257344000004;40K23
98;98;Q26;2026-08-17;53,253651651384715;65251,3;15,0;45;2936308,5;705,8885634;45Q26
99;99;Q24;2024-08-15;37,871873186554005;72531,11;19,0;40;2901244,4;485,08806368;40Q24
101;101;Q30;2030-08-15;91,63512671872753;52182,5;11,0;55;2870037,5;1108,69548625;55Q30
103;103;K23;2023-05-15;28,587197035705046;77768,24;25,0;35;2721888,4000000004;330,43725176000004;35K23
106;106;Q26;2026-08-17;53,253651651384715;65251,3;15,0;40;2610052,0;627,4565008;40Q26
107;107;Q30;2030-08-15;91,63512671872753;52182,5;11,0;50;2609125,0;1007,9049875;50Q30
108;108;Q24;2024-08-15;37,871873186554005;72531,11;19,0;35;2538588,85;424,45205572000003;35Q24
111;111;Q30;2030-08-15;91,63512671872753;52182,5;11,0;45;2348212,5;907,11448875;45Q30
112;112;K23;2023-05-15;28,587197035705046;77768,24;25,0;30;2333047,2;283,23193008000004;30K23
113;113;Q26;2026-08-17;53,253651651384715;65251,3;15,0;35;2283795,5;549,0244382;35Q26
116;116;Q24;2024-08-15;37,871873186554005;72531,11;19,0;30;2175933,3;363,81604776;30Q24
117;117;Q30;2030-08-15;91,63512671872753;52182,5;11,0;40;2087300,0;806,32399;40Q30
119;119;Q26;2026-08-17;53,253651651384715;65251,3;15,0;30;1957539,0;470,5923756;30Q26
120;120;K23;2023-05-15;28,587197035705046;77768,24;25,0;25;1944206,0000000002;236,02660840000004;25K23
122;122;Q30;2030-08-15;91,63512671872753;52182,5;11,0;35;1826387,5;705,53349125;35Q30
123;123;Q24;2024-08-15;37,871873186554005;72531,11;19,0;25;1813277,75;303,1800398;25Q24
126;126;Q26;2026-08-17;53,253651651384715;65251,3;15,0;25;1631282,5;392,160313;25Q26
128;128;Q30;2030-08-15;91,63512671872753;52182,5;11,0;30;1565475,0;604,7429925;30Q30
129;129;K23;2023-05-15;28,587197035705046;77768,24;25,0;20;1555364,8;188,82128672000002;20K23
130;130;Q24;2024-08-15;37,871873186554005;72531,11;19,0;20;1450622,2;242,54403184;20Q24
134;134;Q26;2026-08-17;53,253651651384715;65251,3;15,0;20;1305026,0;313,7282504;20Q26
135;135;Q30;2030-08-15;91,63512671872753;52182,5;11,0;25;1304562,5;503,95249375;25Q30
137;137;K23;2023-05-15;28,587197035705046;77768,24;25,0;15;1166523,6;141,61596504000002;15K23
138;138;Q24;2024-08-15;37,871873186554005;72531,11;19,0;15;1087966,65;181,90802388;15Q24
139;139;Q30;2030-08-15;91,63512671872753;52182,5;11,0;20;1043650,0;403,161995;20Q30
140;140;Q26;2026-08-17;53,253651651384715;65251,3;15,0;15;978769,5;235,2961878;15Q26
145;145;Q30;2030-08-15;91,63512671872753;52182,5;11,0;15;782737,5;302,37149625;15Q30
146;146;K23;2023-05-15;28,587197035705046;77768,24;25,0;10;777682,4;94,41064336000001;10K23
147;147;Q24;2024-08-15;37,871873186554005;72531,11;19,0;10;725311,1;121,27201592;10Q24
148;148;Q26;2026-08-17;53,253651651384715;65251,3;15,0;10;652513,0;156,8641252;10Q26
149;149;Q30;2030-08-15;91,63512671872753;52182,5;11,0;10;521825,0;201,5809975;10Q30
154;154;K23;2023-05-15;28,587197035705046;77768,24;25,0;5;388841,2;47,205321680000004;5K23
155;155;Q24;2024-08-15;37,871873186554005;72531,11;19,0;5;362655,55;60,63600796;5Q24
156;156;Q26;2026-08-17;53,253651651384715;65251,3;15,0;5;326256,5;78,4320626;5Q26
157;157;Q30;2030-08-15;91,63512671872753;52182,5;11,0;5;260912,5;100,79049875;5Q30
0;0;Q20;2020-08-17;10,578210143494026;90433,73;22,0;110;9947710,299999999;211,88622938999998;110Q20
1;1;Q22;2022-08-15;22,892531341589482;81371,91;24,0;120;9764629,200000001;918,8516077200001;120Q22
3;3;K19;2019-05-15;3,534320022305426;96586,33;20,0;100;9658633,0;0,0;100K19
4;4;K21;2021-05-17;14,64482117242214;87225,92;22,0;110;9594851,2;466,30976832;110K21
5;5;Q20;2020-08-17;10,578210143494026;90433,73;22,0;105;9495541,65;202,25503714500002;105Q20
6;6;Q22;2022-08-15;22,892531341589482;81371,91;24,0;115;9357769,65;880,5661240649999;115Q22
8;8;K19;2019-05-15;3,534320022305426;96586,33;20,0;95;9175701,35;0,0;95K19
9;9;K21;2021-05-17;14,64482117242214;87225,92;22,0;105;9158721,6;445,11386975999994;105K21
10;10;Q20;2020-08-17;10,578210143494026;90433,73;22,0;100;9043373,0;192,6238449;100Q20
11;11;Q22;2022-08-15;22,892531341589482;81371,91;24,0;110;8950910,1;842,2806404099999;110Q22
13;13;K21;2021-05-17;14,64482117242214;87225,92;22,0;100;8722592,0;423,9179712;100K21
14;14;K19;2019-05-15;3,534320022305426;96586,33;20,0;90;8692769,7;0,0;90K19
15;15;Q20;2020-08-17;10,578210143494026;90433,73;22,0;95;8591204,35;182,992652655;95Q20
17;17;Q22;2022-08-15;22,892531341589482;81371,91;24,0;105;8544050,55;803,9951567550002;105Q22
18;18;K21;2021-05-17;14,64482117242214;87225,92;22,0;95;8286462,399999999;402,72207263999996;95K21
19;19;K19;2019-05-15;3,534320022305426;96586,33;20,0;85;8209838,05;0,0;85K19
21;21;Q20;2020-08-17;10,578210143494026;90433,73;22,0;90;8139035,699999999;173,36146040999998;90Q20
22;22;Q22;2022-08-15;22,892531341589482;81371,91;24,0;100;8137191,0;765,7096731;100Q22
23;23;K21;2021-05-17;14,64482117242214;87225,92;22,0;90;7850332,8;381,52617408;90K21
25;25;Q22;2022-08-15;22,892531341589482;81371,91;24,0;95;7730331,45;727,424189445;95Q22
26;26;K19;2019-05-15;3,534320022305426;96586,33;20,0;80;7726906,4;0,0;80K19
27;27;Q20;2020-08-17;10,578210143494026;90433,73;22,0;85;7686867,05;163,73026816499998;85Q20
28;28;K21;2021-05-17;14,64482117242214;87225,92;22,0;85;7414203,2;360,33027552000004;85K21
30;30;Q22;2022-08-15;22,892531341589482;81371,91;24,0;90;7323471,9;689,13870579;90Q22
31;31;K19;2019-05-15;3,534320022305426;96586,33;20,0;75;7243974,75;0,0;75K19
32;32;Q20;2020-08-17;10,578210143494026;90433,73;22,0;80;7234698,399999999;154,09907592;80Q20
34;34;K21;2021-05-17;14,64482117242214;87225,92;22,0;80;6978073,6;339,13437696;80K21
35;35;Q22;2022-08-15;22,892531341589482;81371,91;24,0;85;6916612,350000001;650,853222135;85Q22
37;37;Q20;2020-08-17;10,578210143494026;90433,73;22,0;75;6782529,75;144,467883675;75Q20
38;38;K19;2019-05-15;3,534320022305426;96586,33;20,0;70;6761043,100000001;0,0;70K19
40;40;K21;2021-05-17;14,64482117242214;87225,92;22,0;75;6541944,0;317,9384784;75K21
42;42;Q22;2022-08-15;22,892531341589482;81371,91;24,0;80;6509752,800000001;612,5677384800001;80Q22
43;43;Q20;2020-08-17;10,578210143494026;90433,73;22,0;70;6330361,1;134,83669143;70Q20
44;44;K19;2019-05-15;3,534320022305426;96586,33;20,0;65;6278111,45;0,0;65K19
47;47;K21;2021-05-17;14,64482117242214;87225,92;22,0;70;6105814,399999999;296,74257983999996;70K21
48;48;Q22;2022-08-15;22,892531341589482;81371,91;24,0;75;6102893,25;574,282254825;75Q22
49;49;Q20;2020-08-17;10,578210143494026;90433,73;22,0;65;5878192,45;125,20549918500001;65Q20
52;52;K19;2019-05-15;3,534320022305426;96586,33;20,0;60;5795179,8;0,0;60K19
53;53;Q22;2022-08-15;22,892531341589482;81371,91;24,0;70;5696033,7;535,99677117;70Q22
54;54;K21;2021-05-17;14,64482117242214;87225,92;22,0;65;5669684,8;275,54668128;65K21
57;57;Q20;2020-08-17;10,578210143494026;90433,73;22,0;60;5426023,8;115,57430693999999;60Q20
58;58;K19;2019-05-15;3,534320022305426;96586,33;20,0;55;5312248,15;0,0;55K19
59;59;Q22;2022-08-15;22,892531341589482;81371,91;24,0;65;5289174,15;497,71128751500004;65Q22
60;60;K21;2021-05-17;14,64482117242214;87225,92;22,0;60;5233555,2;254,35078272000004;60K21
63;63;Q20;2020-08-17;10,578210143494026;90433,73;22,0;55;4973855,149999999;105,94311469499999;55Q20
65;65;Q22;2022-08-15;22,892531341589482;81371,91;24,0;60;4882314,600000001;459,42580386000003;60Q22
66;66;K19;2019-05-15;3,534320022305426;96586,33;20,0;50;4829316,5;0,0;50K19
67;67;K21;2021-05-17;14,64482117242214;87225,92;22,0;55;4797425,6;233,15488416;55K21
71;71;Q20;2020-08-17;10,578210143494026;90433,73;22,0;50;4521686,5;96,31192245;50Q20
72;72;Q22;2022-08-15;22,892531341589482;81371,91;24,0;55;4475455,05;421,14032020499997;55Q22
73;73;K21;2021-05-17;14,64482117242214;87225,92;22,0;50;4361296,0;211,9589856;50K21
75;75;K19;2019-05-15;3,534320022305426;96586,33;20,0;45;4346384,85;0,0;45K19
78;78;Q20;2020-08-17;10,578210143494026;90433,73;22,0;45;4069517,8499999996;86,68073020499999;45Q20
79;79;Q22;2022-08-15;22,892531341589482;81371,91;24,0;50;4068595,5;382,85483655;50Q22
81;81;K21;2021-05-17;14,64482117242214;87225,92;22,0;45;3925166,4;190,76308704;45K21
84;84;K19;2019-05-15;3,534320022305426;96586,33;20,0;40;3863453,2;0,0;40K19
85;85;Q22;2022-08-15;22,892531341589482;81371,91;24,0;45;3661735,95;344,569352895;45Q22
87;87;Q20;2020-08-17;10,578210143494026;90433,73;22,0;40;3617349,1999999997;77,04953796;40Q20
90;90;K21;2021-05-17;14,64482117242214;87225,92;22,0;40;3489036,8;169,56718848;40K21
91;91;K19;2019-05-15;3,534320022305426;96586,33;20,0;35;3380521,5500000003;0,0;35K19
94;94;Q22;2022-08-15;22,892531341589482;81371,91;24,0;40;3254876,4000000004;306,28386924000006;40Q22
95;95;Q20;2020-08-17;10,578210143494026;90433,73;22,0;35;3165180,55;67,418345715;35Q20
97;97;K21;2021-05-17;14,64482117242214;87225,92;22,0;35;3052907,1999999997;148,37128991999998;35K21
100;100;K19;2019-05-15;3,534320022305426;96586,33;20,0;30;2897589,9;0,0;30K19
102;102;Q22;2022-08-15;22,892531341589482;81371,91;24,0;35;2848016,85;267,998385585;35Q22
104;104;Q20;2020-08-17;10,578210143494026;90433,73;22,0;30;2713011,9;57,78715346999999;30Q20
105;105;K21;2021-05-17;14,64482117242214;87225,92;22,0;30;2616777,6;127,17539136000002;30K21
109;109;Q22;2022-08-15;22,892531341589482;81371,91;24,0;30;2441157,3000000003;229,71290193000002;30Q22
110;110;K19;2019-05-15;3,534320022305426;96586,33;20,0;25;2414658,25;0,0;25K19
114;114;Q20;2020-08-17;10,578210143494026;90433,73;22,0;25;2260843,25;48,155961225;25Q20
115;115;K21;2021-05-17;14,64482117242214;87225,92;22,0;25;2180648,0;105,9794928;25K21
118;118;Q22;2022-08-15;22,892531341589482;81371,91;24,0;25;2034297,75;191,427418275;25Q22
121;121;K19;2019-05-15;3,534320022305426;96586,33;20,0;20;1931726,6;0,0;20K19
124;124;Q20;2020-08-17;10,578210143494026;90433,73;22,0;20;1808674,5999999999;38,52476898;20Q20
125;125;K21;2021-05-17;14,64482117242214;87225,92;22,0;20;1744518,4;84,78359424;20K21
127;127;Q22;2022-08-15;22,892531341589482;81371,91;24,0;20;1627438,2000000002;153,14193462000003;20Q22
131;131;K19;2019-05-15;3,534320022305426;96586,33;20,0;15;1448794,95;0,0;15K19
132;132;Q20;2020-08-17;10,578210143494026;90433,73;22,0;15;1356505,95;28,893576734999996;15Q20
133;133;K21;2021-05-17;14,64482117242214;87225,92;22,0;15;1308388,8;63,58769568000001;15K21
136;136;Q22;2022-08-15;22,892531341589482;81371,91;24,0;15;1220578,6500000001;114,85645096500001;15Q22
141;141;K19;2019-05-15;3,534320022305426;96586,33;20,0;10;965863,3;0,0;10K19
142;142;Q20;2020-08-17;10,578210143494026;90433,73;22,0;10;904337,2999999999;19,26238449;10Q20
143;143;K21;2021-05-17;14,64482117242214;87225,92;22,0;10;872259,2;42,39179712;10K21
144;144;Q22;2022-08-15;22,892531341589482;81371,91;24,0;10;813719,1000000001;76,57096731000001;10Q22
150;150;K19;2019-05-15;3,534320022305426;96586,33;20,0;5;482931,65;0,0;5K19
151;151;Q20;2020-08-17;10,578210143494026;90433,73;22,0;5;452168,64999999997;9,631192245;5Q20
152;152;K21;2021-05-17;14,64482117242214;87225,92;22,0;5;436129,6;21,19589856;5K21
153;153;Q22;2022-08-15;22,892531341589482;81371,91;24,0;5;406859,55000000005;38,28548365500001;5Q22
